Date,Symbols,Above_MA_30W,Symbols_MA_10W,Above_MA_10W,Pct_Above_MA_30W,Pct_Above_MA_10W,Benchmark_Close,Benchmark_Ticker
2026-06-22,1504,960,1504,997,63.829787234042556,66.28989361702128,23261.849609375,^CRSLDX
2026-06-23,1504,919,1504,935,61.10372340425532,62.16755319148937,23010.94921875,^CRSLDX
2026-06-24,1504,939,1504,930,62.433510638297875,61.83510638297872,23126.30078125,^CRSLDX
2026-06-25,1504,910,1504,880,60.50531914893617,58.51063829787234,23113.69921875,^CRSLDX
2026-06-26,1502,909,1502,881,60.51930758988016,58.655126498002666,,^CRSLDX
2026-06-29,1504,863,1504,808,57.38031914893617,53.72340425531915,23000.0,^CRSLDX
2026-06-30,1504,895,1504,837,59.50797872340425,55.65159574468085,22995.650390625,^CRSLDX
2026-07-01,1504,910,1504,861,60.50531914893617,57.24734042553191,23111.650390625,^CRSLDX
2026-07-02,1504,956,1504,917,63.56382978723404,60.97074468085106,23264.80078125,^CRSLDX
2026-07-03,1504,970,1504,955,64.49468085106383,63.49734042553191,23301.150390625,^CRSLDX
2026-07-06,1504,961,1504,935,63.89627659574468,62.16755319148937,23433.94921875,^CRSLDX
2026-07-07,1504,941,1504,883,62.566489361702125,58.71010638297872,23368.849609375,^CRSLDX
2026-07-08,1504,836,1504,714,55.58510638297872,47.47340425531915,22908.05078125,^CRSLDX
2026-07-09,1504,903,1504,802,60.03989361702128,53.32446808510638,23081.150390625,^CRSLDX
2026-07-10,1504,955,1504,903,63.49734042553191,60.03989361702128,23348.400390625,^CRSLDX
2026-07-13,1504,986,1504,930,65.55851063829788,61.83510638297872,23347.05078125,^CRSLDX
2026-07-14,1504,961,1504,858,63.89627659574468,57.047872340425535,23199.44921875,^CRSLDX
2026-07-15,1504,972,1504,894,64.62765957446808,59.441489361702125,23263.900390625,^CRSLDX
2026-07-16,1504,958,1504,903,63.696808510638306,60.03989361702128,23232.650390625,^CRSLDX
2026-07-17,1504,931,1504,856,61.90159574468085,56.91489361702128,23336.30078125,^CRSLDX
2026-07-20,1504,934,1504,887,62.10106382978723,58.97606382978723,23338.05078125,^CRSLDX
2026-07-21,1504,947,1504,889,62.965425531914896,59.10904255319149,23352.150390625,^CRSLDX
2026-07-22,1504,895,1504,805,59.50797872340425,53.52393617021277,23145.05078125,^CRSLDX
2026-07-23,1504,868,1504,740,57.71276595744681,49.202127659574465,22982.400390625,^CRSLDX
2026-07-24,1504,861,1504,756,57.24734042553191,50.26595744680851,22913.30078125,^CRSLDX
2026-07-27,1504,908,1504,821,60.37234042553191,54.58776595744681,23153.099609375,^CRSLDX
2026-07-28,1504,888,1504,763,59.04255319148937,50.7313829787234,23114.900390625,^CRSLDX
2026-07-29,1504,915,1504,815,60.83776595744681,54.18882978723404,23352.599609375,^CRSLDX
2026-07-30,1504,915,1504,755,60.83776595744681,50.19946808510638,23353.55078125,^CRSLDX
2026-07-31,1504,925,1504,788,61.50265957446809,52.3936170212766,23460.69921875,^CRSLDX
2026-08-03,1504,990,1504,896,65.82446808510637,59.57446808510638,23802.849609375,^CRSLDX
2026-08-04,1504,994,1504,884,66.0904255319149,58.77659574468085,23690.150390625,^CRSLDX
2026-08-05,1504,1010,1504,925,67.15425531914893,61.50265957446809,23735.55078125,^CRSLDX
2026-08-06,1504,1023,1504,911,68.0186170212766,60.571808510638306,23729.44921875,^CRSLDX
2026-08-07,1504,1017,1504,896,67.61968085106383,59.57446808510638,23712.099609375,^CRSLDX
2026-08-10,1504,1018,1504,878,67.68617021276596,58.37765957446809,23743.19921875,^CRSLDX
2026-08-11,1504,1017,1504,854,67.61968085106383,56.78191489361703,23681.150390625,^CRSLDX
2026-08-12,1504,983,1504,828,65.3590425531915,55.053191489361694,23672.44921875,^CRSLDX
2026-08-13,1504,972,1504,820,64.62765957446808,54.52127659574468,23658.099609375,^CRSLDX
2026-08-14,1504,961,1504,801,63.89627659574468,53.25797872340425,23594.900390625,^CRSLDX
2026-08-17,1504,959,1504,774,63.76329787234043,51.46276595744681,23564.44921875,^CRSLDX
2026-08-18,1504,933,1504,773,62.034574468085104,51.39627659574468,23472.400390625,^CRSLDX
2026-08-19,1504,921,1504,741,61.23670212765957,49.2686170212766,23386.19921875,^CRSLDX
2026-08-20,1504,934,1504,761,62.10106382978723,50.59840425531915,23512.94921875,^CRSLDX
2026-08-21,1504,930,1504,775,61.83510638297872,51.52925531914894,23530.30078125,^CRSLDX
2026-08-24,1504,938,1504,755,62.36702127659575,50.19946808510638,23511.75,^CRSLDX
2026-08-25,1504,940,1504,756,62.5,50.26595744680851,23611.599609375,^CRSLDX
2026-08-26,1504,961,1504,768,63.89627659574468,51.06382978723404,23559.19921875,^CRSLDX
2026-08-27,1504,947,1504,736,62.965425531914896,48.93617021276596,23482.0,^CRSLDX
2026-08-31,1504,925,1504,742,61.50265957446809,49.33510638297872,23450.349609375,^CRSLDX
